index,label,domain,method,run_id,bundle_dir,summary_json_status,config_status,wandb_summary_status,wandb_metadata_status,requirements_status,diff_patch_status,output_log_status,run_record_status,model_zip_status,models_dir_status,vec_normalize_status,hierarchical_report_status,notes
64,Fertilization | A2C | nonadaptive | random_weather | years=5000 | seed=0,fertilization,A2C,kde2dkkv,final_successful_runs\bundles\064_fertilization_a2c_nonadaptive_random_weather_years_5000_seed_0,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,
65,Fertilization | A2C | adaptive | fixed_weather | years=5000 | seed=1,fertilization,A2C,fhf1d6nz,final_successful_runs\bundles\065_fertilization_a2c_adaptive_fixed_weather_years_5000_seed_1,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,
66,Fertilization | A2C | nonadaptive | fixed_weather | years=5000 | seed=1,fertilization,A2C,cog4zjo9,final_successful_runs\bundles\066_fertilization_a2c_nonadaptive_fixed_weather_years_5000_seed_1,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,
67,Fertilization | A2C | adaptive | random_weather | years=5000 | seed=1,fertilization,A2C,tfvbvob4,final_successful_runs\bundles\067_fertilization_a2c_adaptive_random_weather_years_5000_seed_1,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,
68,Fertilization | A2C | nonadaptive | random_weather | years=5000 | seed=1,fertilization,A2C,newvepiz,final_successful_runs\bundles\068_fertilization_a2c_nonadaptive_random_weather_years_5000_seed_1,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,
69,Fertilization | A2C | adaptive | fixed_weather | years=5000 | seed=2,fertilization,A2C,ccvrlhi6,final_successful_runs\bundles\069_fertilization_a2c_adaptive_fixed_weather_years_5000_seed_2,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,
70,Fertilization | A2C | nonadaptive | fixed_weather | years=5000 | seed=2,fertilization,A2C,x62zhmdl,final_successful_runs\bundles\070_fertilization_a2c_nonadaptive_fixed_weather_years_5000_seed_2,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,
71,Fertilization | A2C | adaptive | random_weather | years=5000 | seed=2,fertilization,A2C,3pbpg5sa,final_successful_runs\bundles\071_fertilization_a2c_adaptive_random_weather_years_5000_seed_2,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,
72,Fertilization | A2C | nonadaptive | random_weather | years=5000 | seed=2,fertilization,A2C,tnxtaunb,final_successful_runs\bundles\072_fertilization_a2c_nonadaptive_random_weather_years_5000_seed_2,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,
73,Crop planning | PPO | adaptive | fixed_weather | seed=0,crop_planning,PPO,0oscoexc,final_successful_runs\bundles\073_crop_planning_ppo_adaptive_fixed_weather_seed_0,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,missing,crop_planning_run_has_no_vec_normalize_artifact
74,Crop planning | PPO | nonadaptive | fixed_weather | seed=0,crop_planning,PPO,mni6lluw,final_successful_runs\bundles\074_crop_planning_ppo_nonadaptive_fixed_weather_seed_0,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,missing,crop_planning_run_has_no_vec_normalize_artifact
75,Crop planning hierarchical | PPO | fixed_weather | seed=0 | profile=pakistan_baseline,crop_planning,PPO,sqzjc7ms,final_successful_runs\bundles\075_crop_planning_hierarchical_ppo_fixed_weather_seed_0_profile_pakistan_baseline,moved,moved,moved,moved,moved,moved,moved,moved,moved,moved,missing,moved,crop_planning_run_has_no_vec_normalize_artifact;hierarchical_run_includes_report_bundle_when_available
