num_timesteps,env_index,date,year,doy,operation_year,n_kg,p_kg,k_kg,cost_n,cost_p,cost_k,cost_total,reward,planner_applied,window_compliant,crop_name,action_raw
167,0,2008-03-08,2008,68,4,90.0,24.0,30.0,2293.04349,4624.397232,2164.07661,9081.517332,-0.060779787600040436,False,,,"[0, 3, 8, 6, 6, 3, 5]"
168,0,2008-03-15,2008,75,4,75.0,48.0,54.0,1910.869575,9248.794464,3895.3378979999998,15055.001937,-0.10029502213001251,False,,,"[1, 6, 0, 7, 5, 6, 9]"
169,0,2008-03-22,2008,82,4,120.0,40.0,6.0,3057.39132,7707.32872,432.815322,11197.535362,-0.07424258440732956,False,,,"[1, 5, 9, 0, 8, 5, 1]"
170,0,2008-03-29,2008,89,4,150.0,80.0,6.0,3821.73915,15414.65744,432.815322,19669.211912,-0.1297035813331604,False,,,"[1, 9, 5, 6, 10, 10, 1]"
171,0,2008-04-05,2008,96,4,75.0,32.0,18.0,1910.869575,6165.862976,1298.445966,9375.178517,-0.06148648262023926,False,,,"[0, 4, 6, 9, 5, 4, 3]"
172,0,2008-04-12,2008,103,4,60.0,8.0,36.0,1528.69566,1541.465744,2596.891932,5667.053336000001,-0.03697400912642479,False,,,"[1, 9, 5, 9, 4, 1, 6]"
173,0,2008-04-19,2008,110,4,150.0,56.0,12.0,3821.73915,10790.260208,865.630644,15477.630002,-0.10041869431734085,False,,,"[1, 1, 9, 9, 10, 7, 2]"
174,0,2008-04-26,2008,117,4,15.0,40.0,24.0,382.173915,7707.32872,1731.261288,9820.763923,-0.06336089223623276,False,,,"[0, 1, 3, 4, 1, 5, 4]"
175,0,2008-05-03,2008,124,4,120.0,56.0,6.0,3057.39132,10790.260208,432.815322,14280.46685,-0.0915922150015831,False,,,"[1, 11, 3, 3, 8, 7, 1]"
176,0,2008-05-10,2008,131,4,45.0,32.0,30.0,1146.521745,6165.862976,2164.07661,9476.461331,-0.0604248084127903,False,,,"[1, 13, 2, 9, 3, 4, 5]"
177,0,2008-05-17,2008,138,4,120.0,80.0,12.0,3057.39132,15414.65744,865.630644,19337.679404000002,-0.1225091964006424,False,,,"[1, 12, 6, 6, 8, 10, 2]"
178,0,2008-05-24,2008,145,4,150.0,80.0,6.0,3821.73915,15414.65744,432.815322,19669.211912,-0.12373338639736176,False,,,"[1, 4, 7, 1, 10, 10, 1]"
179,0,2008-05-31,2008,152,4,30.0,56.0,54.0,764.34783,10790.260208,3895.3378979999998,15449.945936,-0.09647919982671738,False,,,"[1, 4, 1, 1, 2, 7, 9]"
180,0,2008-06-07,2008,159,4,75.0,40.0,24.0,1910.869575,7707.32872,1731.261288,11349.459583,-0.07035330682992935,False,,,"[0, 13, 2, 6, 5, 5, 4]"
181,0,2008-06-14,2008,166,4,90.0,32.0,30.0,2293.04349,6165.862976,2164.07661,10622.983076,-0.06536977738142014,False,,,"[1, 5, 8, 2, 6, 4, 5]"
182,0,2008-06-21,2008,173,4,105.0,40.0,12.0,2675.217405,7707.32872,865.630644,11248.176769000002,-0.06871256232261658,False,,,"[0, 5, 2, 8, 7, 5, 2]"
183,0,2008-06-28,2008,180,4,90.0,80.0,30.0,2293.04349,15414.65744,2164.07661,19871.77754,-0.12044237554073334,False,,,"[1, 13, 7, 7, 6, 10, 5]"
184,0,2008-07-05,2008,187,4,60.0,48.0,24.0,1528.69566,9248.794464,1731.261288,12508.751412,-0.07521902769804001,False,,,"[0, 10, 0, 0, 4, 6, 4]"
185,0,2008-07-12,2008,194,4,0.0,64.0,24.0,0.0,12331.725952,1731.261288,14062.98724,-0.08388911187648773,False,,,"[1, 12, 9, 3, 0, 8, 4]"
186,0,2008-07-19,2008,201,4,30.0,64.0,30.0,764.34783,12331.725952,2164.07661,15260.150392000001,-0.09028520435094833,False,,,"[1, 12, 2, 4, 2, 8, 5]"
187,0,2008-07-26,2008,208,4,90.0,8.0,6.0,2293.04349,1541.465744,432.815322,4267.3245560000005,-0.02505321055650711,False,,,"[0, 12, 6, 9, 6, 1, 1]"
188,0,2008-08-02,2008,215,4,105.0,0.0,24.0,2675.217405,0.0,1731.261288,4406.478693,-0.02568330056965351,False,,,"[1, 10, 2, 8, 7, 0, 4]"
189,0,2008-08-09,2008,222,4,135.0,0.0,60.0,3439.565235,0.0,4328.15322,7767.718455,-0.04495810344815254,False,,,"[1, 11, 1, 9, 9, 0, 10]"
190,0,2008-08-16,2008,229,4,120.0,48.0,24.0,3057.39132,9248.794464,1731.261288,14037.447072,-0.08066791296005249,False,,,"[1, 6, 6, 4, 8, 6, 4]"
191,0,2008-08-23,2008,236,4,30.0,16.0,18.0,764.34783,3082.931488,1298.445966,5145.725284,-0.02937139943242073,False,,,"[0, 7, 1, 6, 2, 2, 3]"
192,0,2008-08-30,2008,243,4,15.0,80.0,42.0,382.173915,15414.65744,3029.707254,18826.538609,-0.10669408738613129,False,,,"[0, 2, 4, 5, 1, 10, 7]"
193,0,2008-09-06,2008,250,4,105.0,64.0,12.0,2675.217405,12331.725952,865.630644,15872.574001,0.1826181560754776,False,,,"[1, 2, 1, 5, 7, 8, 2]"
194,0,2008-09-13,2008,257,4,15.0,8.0,30.0,382.173915,1541.465744,2164.07661,4087.7162690000005,-0.02295086532831192,False,,,"[0, 3, 6, 7, 1, 1, 5]"
195,0,2008-09-20,2008,264,4,135.0,48.0,12.0,3439.565235,9248.794464,865.630644,13553.990343000001,-0.0757451057434082,False,,,"[0, 4, 9, 6, 9, 6, 2]"
