num_timesteps,env_index,date,year,doy,operation_year,n_kg,p_kg,k_kg,cost_n,cost_p,cost_k,cost_total,reward,planner_applied,window_compliant,crop_name,action_raw
90,0,2006-09-16,2006,259,2,105.0,0.0,24.0,2319.130485,0.0,1353.09,3672.220485,-0.03461199998855591,False,,,"[0, 11, 8, 6, 7, 0, 4]"
91,0,2006-09-23,2006,266,2,30.0,72.0,24.0,662.6087100000001,7740.0072,1353.09,9755.70591,-0.09099864959716797,False,,,"[1, 0, 4, 9, 2, 9, 4]"
92,0,2006-09-30,2006,273,2,75.0,48.0,48.0,1656.5217750000002,5160.004800000001,2706.18,9522.706575,-0.08789145201444626,False,,,"[1, 2, 6, 9, 5, 6, 8]"
93,0,2006-10-07,2006,280,2,45.0,56.0,30.0,993.9130650000001,6020.0056,1691.3625,8705.281165,-0.07950267940759659,False,,,"[0, 9, 9, 3, 3, 7, 5]"
94,0,2006-10-14,2006,287,2,75.0,80.0,18.0,1656.5217750000002,8600.008,1014.8174999999999,11271.347274999998,-0.10181514173746109,False,,,"[0, 0, 8, 3, 5, 10, 3]"
95,0,2006-10-21,2006,294,2,135.0,16.0,6.0,2981.739195,1720.0016,338.2725,5040.013295,0.7734035849571228,False,,,"[0, 13, 2, 3, 9, 2, 1]"
96,0,2006-10-28,2006,301,2,90.0,0.0,36.0,1987.8261300000001,0.0,2029.6349999999998,4017.4611299999997,-0.036354806274175644,False,,,"[0, 13, 9, 2, 6, 0, 6]"
97,0,2006-11-04,2006,308,2,15.0,0.0,12.0,331.30435500000004,0.0,676.545,1007.8493550000001,-0.009130816906690598,False,,,"[0, 3, 3, 8, 1, 0, 2]"
98,0,2006-11-11,2006,315,2,0.0,56.0,60.0,0.0,6020.0056,3382.725,9402.7306,-0.08524677157402039,False,,,"[0, 0, 2, 0, 0, 7, 10]"
99,0,2006-11-18,2006,322,2,0.0,8.0,12.0,0.0,860.0008,676.545,1536.5457999999999,-0.013943680562078953,False,,,"[0, 2, 1, 7, 0, 1, 2]"
